"","Var1","Var2"
"1","Didelphis marsupialis","Galictis vittata"
"2","Cuniculus paca","Herpailurus yagouaroundi"
"3","Didelphis marsupialis","Herpailurus yagouaroundi"
"4","Bradypus variegatus","Leopardus pardalis"
"5","Coendou prehensilis","Leopardus pardalis"
"6","Cuniculus paca","Leopardus pardalis"
"7","Dasyprocta leporina","Leopardus pardalis"
"8","Dasypus novemcinctus","Leopardus pardalis"
"9","Didelphis marsupialis","Leopardus pardalis"
"10","Eira barbara","Leopardus pardalis"
"11","Myoprocta pratti","Leopardus pardalis"
"12","Nasua nasua","Leopardus pardalis"
"13","Pecari tajacu","Leopardus pardalis"
"14","Philander opossum","Leopardus pardalis"
"15","Potos flavus","Leopardus pardalis"
"16","Procyon cancrivorus","Leopardus pardalis"
"17","Saimiri sciureus","Leopardus pardalis"
"18","Sapajus apella","Leopardus pardalis"
"19","Tamandua tetradactyla","Leopardus pardalis"
"20","Cuniculus paca","Leopardus tigrinus"
"21","Nasua nasua","Leopardus tigrinus"
"22","Nasua nasua","Leopardus wiedii"
"23","Bradypus variegatus","Panthera onca"
"24","Cuniculus paca","Panthera onca"
"25","Dasyprocta leporina","Panthera onca"
"26","Dasypus novemcinctus","Panthera onca"
"27","Didelphis marsupialis","Panthera onca"
"28","Galictis vittata","Panthera onca"
"29","Hydrochoerus hydrochaeris","Panthera onca"
"30","Leopardus wiedii","Panthera onca"
"31","Mazama americana","Panthera onca"
"32","Myrmecophaga tridactyla","Panthera onca"
"33","Nasua nasua","Panthera onca"
"34","Pecari tajacu","Panthera onca"
"35","Philander opossum","Panthera onca"
"36","Potos flavus","Panthera onca"
"37","Procyon cancrivorus","Panthera onca"
"38","Sapajus apella","Panthera onca"
"39","Tamandua tetradactyla","Panthera onca"
"40","Tapirus terrestris","Panthera onca"
"41","Tayassu pecari","Panthera onca"
"42","Bradypus variegatus","Puma concolor"
"43","Cuniculus paca","Puma concolor"
"44","Dasyprocta leporina","Puma concolor"
"45","Dasypus novemcinctus","Puma concolor"
"46","Didelphis marsupialis","Puma concolor"
"47","Eira barbara","Puma concolor"
"48","Hydrochoerus hydrochaeris","Puma concolor"
"49","Leopardus wiedii","Puma concolor"
"50","Mazama americana","Puma concolor"
"51","Myrmecophaga tridactyla","Puma concolor"
"52","Nasua nasua","Puma concolor"
"53","Pecari tajacu","Puma concolor"
"54","Philander opossum","Puma concolor"
"55","Potos flavus","Puma concolor"
"56","Procyon cancrivorus","Puma concolor"
"57","Sapajus apella","Puma concolor"
"58","Tamandua tetradactyla","Puma concolor"
"59","Tayassu pecari","Puma concolor"
"60","Cuniculus paca","Speothos venaticus"
"61","Dasypus novemcinctus","Speothos venaticus"
"62","Hydrochoerus hydrochaeris","Speothos venaticus"
